"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2010년 4월","3.3370","3.5440","3.6300","3.3160","20.86K","-5.89%"
"2010년 3월","3.5460","3.3590","3.5670","3.2770","12.70K","8.51%"
"2010년 2월","3.2680","3.0300","3.3600","2.8600","22.52K","7.29%"
"2010년 1월","3.0460","3.3580","3.5230","3.0360","5.44K","-8.47%"
"2009년 12월","3.3280","3.1550","3.3520","3.0600","13.28K","5.72%"
"2009년 11월","3.1480","2.9600","3.1960","2.8900","24.61K","6.82%"
"2009년 10월","2.9470","2.7970","3.0580","2.6490","5.30K","4.91%"
"2009년 9월","2.8090","2.8160","2.9550","2.6600","11.80K","0.04%"
"2009년 8월","2.8080","2.7290","2.9660","2.6500","21.02K","7.34%"
"2009년 7월","2.6160","2.2640","2.6220","2.1350","9.88K","15.85%"
"2009년 6월","2.2580","2.1870","2.4460","2.1200","15.56K","2.78%"
"2009년 5월","2.1970","2.0440","2.2170","1.9850","10.48K","7.01%"
"2009년 4월","2.0530","1.8310","2.2140","1.7980","12.09K","11.64%"
"2009년 3월","1.8390","1.5000","1.8650","1.4950","10.23K","20.51%"
"2009년 2월","1.5260","1.4000","1.6430","1.4000","9.35K","4.38%"
"2009년 1월","1.4620","1.4420","1.6110","1.3760","5.43K","4.80%"
"2008년 12월","1.3950","1.6450","1.6550","1.2500","9.55K","-14.05%"
"2008년 11월","1.6230","1.8770","1.9800","1.5500","14.22K","-11.98%"
"2008년 10월","1.8440","2.8970","2.9380","1.6950","5.45K","-36.15%"
"2008년 9월","2.8880","3.4180","3.4220","2.8580","12.11K","-15.78%"
"2008년 8월","3.4290","3.6200","3.6620","3.2370","11.97K","-7.72%"
"2008년 7월","3.7160","3.8820","4.0820","3.5900","10.81K","-4.62%"
"2008년 6월","3.8960","3.5650","3.9190","3.5100","12.25K","7.39%"
"2008년 5월","3.6280","3.9330","4.2700","3.5720","13.41K","-7.78%"
"2008년 4월","3.9340","3.8290","4.0320","3.7540","10.72K","1.81%"
"2008년 3월","3.8640","3.8400","4.0160","3.4970","10.73K","0.31%"
"2008년 2월","3.8520","3.3240","3.8970","3.1800","10.89K","17.12%"
"2008년 1월","3.2890","3.0500","3.3310","3.0390","5.02K","8.55%"
"2007년 12월","3.0300","3.1500","3.1950","2.8500","12.31K","-4.02%"
"2007년 11월","3.1570","3.4510","3.4530","2.8820","10.30K","-8.97%"
"2007년 10월","3.4680","3.6510","3.7550","3.4340","5.53K","-4.49%"
"2007년 9월","3.6310","3.3700","3.6730","3.2150","10.33K","6.45%"
"2007년 8월","3.4110","3.6150","3.6250","3.1300","10.31K","-6.65%"
"2007년 7월","3.6540","3.4540","3.7870","3.4540","14.24K","5.79%"
"2007년 6월","3.4540","3.4170","3.4950","3.2380","10.51K","1.80%"
"2007년 5월","3.3930","3.5180","3.7950","3.1780","12.27K","-4.21%"
"2007년 4월","3.5420","3.1200","3.6380","3.1050","10.29K","12.69%"
"2007년 3월","3.1430","2.7520","3.1520","2.6150","15.12K","15.00%"
"2007년 2월","2.7330","2.5580","2.8750","2.3850","15.02K","5.81%"
"2007년 1월","2.5830","2.8000","2.8000","2.4760","9.20K","-9.50%"
"2006년 12월","2.8540","3.1700","3.2700","2.8250","14.72K","-10.00%"
"2006년 11월","3.1710","3.3360","3.4000","3.0000","12.76K","-4.95%"
"2006년 10월","3.3360","3.4700","3.5600","3.2000","9.18K","-3.56%"
"2006년 9월","3.4590","3.4690","3.7100","3.2700","14.50K","-0.29%"
"2006년 8월","3.4690","3.6200","3.7400","3.3500","11.39K","-3.91%"
"2006년 7월","3.6100","3.4600","3.8700","3.3200","15.27K","4.27%"
"2006년 6월","3.4620","3.7200","3.7200","3.0700","11.65K","-6.84%"
"2006년 5월","3.7160","3.3270","4.1600","3.3270","19.12K","11.39%"
"2006년 4월","3.3360","2.4930","3.5000","2.5440","16.11K","34.08%"
"2006년 3월","2.4880","2.1860","2.5330","2.1480","15.83K","13.82%"
"2006년 2월","2.1860","2.2420","2.3400","2.1310","12.71K","-2.24%"
"2006년 1월","2.2360","2.1600","2.2920","2.1180","8.13K","3.42%"
"2005년 12월","2.1620","2.0740","2.2990","2.0690","18.38K","4.19%"
"2005년 11월","2.0750","1.8850","2.1800","1.8720","20.28K","9.44%"
"2005년 10월","1.8960","1.8100","1.9890","1.7990","13.09K","5.22%"
"2005년 9월","1.8020","1.7000","1.8820","1.6550","18.78K","5.38%"
"2005년 8월","1.7100","1.6850","1.8050","1.6420","13.69K","1.30%"
"2005년 7월","1.6880","1.5610","1.6920","1.5240","13.18K","8.62%"
"2005년 6월","1.5540","1.5050","1.7080","1.4910","15.48K","3.26%"
"2005년 5월","1.5050","1.4900","1.5450","1.4100","22.38K","0.80%"
"2005년 4월","1.4930","1.4980","1.5500","1.4280","20.76K","-1.13%"
"2005년 3월","1.5100","1.5000","1.5200","1.4460","12.18K","0.67%"
"2005년 2월","1.5000","1.4420","1.5120","1.4000","10.57K","2.53%"
"2005년 1월","1.4630","1.5000","1.5240","1.3830","7.29K","-1.61%"
"2004년 12월","1.4870","1.4450","1.5500","1.3600","17.80K","3.05%"
"2004년 11월","1.4430","1.3230","1.4920","1.3100","16.59K","7.13%"
"2004년 10월","1.3470","1.4010","1.4860","1.2530","5.98K","-3.79%"
"2004년 9월","1.4000","1.2780","1.4120","1.2230","12.92K","9.29%"
"2004년 8월","1.2810","1.2960","1.3340","1.2450","10.07K","-2.06%"
"2004년 7월","1.3080","1.2050","1.3160","1.2050","9.46K","8.55%"
"2004년 6월","1.2050","1.2720","1.2990","1.1320","9.41K","-5.71%"
"2004년 5월","1.2780","1.2100","1.2800","1.1380","13.95K","5.62%"
"2004년 4월","1.2100","1.3720","1.3720","1.1630","13.07K","-10.96%"
"2004년 3월","1.3590","1.3510","1.3990","1.2620","14.34K","1.19%"
"2004년 2월","1.3430","1.1510","1.3490","1.1420","14.68K","17.50%"
"2004년 1월","1.1430","1.0760","1.1430","1.0600","5.77K","9.59%"
"2003년 12월","1.0430","0.9370","1.0460","0.9320","11.29K","14.99%"
"2003년 11월","0.9070","0.9260","0.9600","0.8810","21.79K","-3.20%"
"2003년 10월","0.9370","0.8190","0.9380","0.8190","4.74K","15.25%"
"2003년 9월","0.8130","0.8060","0.8320","0.8030","10.40K","1.25%"
"2003년 8월","0.8030","0.8150","0.8150","0.7820","11.46K","-1.83%"
